ST,TYPE,year,clsrmnths_mean,eligmnths_mean,ipemnths_mean,clsrmnths_sd,eligmnths_sd,ipemnths_sd,clsrmnths_median,eligmnths_median,ipemnths_median,clsrmnths_min,eligmnths_min,ipemnths_min,clsrmnths_max,eligmnths_max,ipemnths_max
New Mexico,General,2010,20.24087409,18.87599638,16.88990036,17.67283252,17.55565084,17.22587829,14.96666667,13.38333333,11.1,1.533333333,0.533333333,0,145.1666667,144.0666667,141.8
New Mexico,General,2011,22.15083195,20.72888242,18.57031337,19.12095486,19.04505722,18.70063105,16.43333333,14.9,12.63333333,2.933333333,2.666666667,0.933333333,189.3666667,186.6666667,183.7333333
New York,Blind,2008,30.94015895,29.84343151,24.36245909,34.30199208,32.85757301,24.55361088,16.53333333,15.83333333,14.6,1.633333333,0.533333333,0,256.8333333,219.3,161.5666667
New York,Blind,2009,37.52408066,36.21476868,30.62805457,36.15237648,35.31058205,30.16706492,23.81666667,22.56666667,20.73333333,2.2,2.2,0.233333333,241.9333333,241.4666667,197.7
New York,Blind,2010,37.06534057,35.93423749,28.01301989,39.58017509,38.83730419,30.54644927,20.83333333,19.8,16.33333333,1.466666667,1.466666667,1.466666667,232.8333333,231.5,231.5
New York,Blind,2011,39.92039381,38.86272855,30.57412096,42.01009818,41.16224549,32.83838453,22.96666667,22.2,17.73333333,3.2,2.266666667,2.266666667,305.9,301.7333333,238.7666667
New York,General,2008,22.92019072,21.7881062,18.35171978,19.48143966,19.29794885,18.24131166,17.1,15.96666667,12.5,0.233333333,0.2,0.033333333,308.3333333,305.2333333,293.0333333
New York,General,2009,23.06010276,21.89672456,18.67766971,19.51499468,19.39248626,18.39597249,17.4,16.25,13.13333333,0.266666667,0.166666667,0.066666667,247.8,237.6666667,232.3666667
New York,General,2010,23.85784224,22.52495639,19.21065226,18.23344255,18.20029974,17.17670136,19.33333333,18,14.76666667,0.2,0,0,248.2,244.4666667,238.7
New York,General,2011,24.43999147,22.96811484,19.62459495,18.03775789,17.99821488,17.14928387,20.26666667,18.6,14.9,0.666666667,0.233333333,0.1,321.1333333,321,320.9666667
